Year,UNIT_MEASURE,Vrsta škole,Spol,Value
2011,Broj,Oba spola,Oba spola,35349
2012,Broj,Oba spola,Oba spola,34791
2013,Broj,Oba spola,Oba spola,40630
2014,Broj,Oba spola,Oba spola,43991
2015,Broj,Oba spola,Oba spola,43318
2016,Broj,Oba spola,Oba spola,35897
2017,Broj,Oba spola,Oba spola,31761
2018,Broj,Oba spola,Oba spola,32963
2019,Broj,Oba spola,Oba spola,32540
2020,Broj,Oba spola,Oba spola,31140
2011,Broj,Gimnazija,Oba spola,8863
2012,Broj,Gimnazija,Oba spola,8101
2013,Broj,Gimnazija,Oba spola,9732
2014,Broj,Gimnazija,Oba spola,10855
2015,Broj,Gimnazija,Oba spola,11920
2016,Broj,Gimnazija,Oba spola,9210
2017,Broj,Gimnazija,Oba spola,7893
2018,Broj,Gimnazija,Oba spola,7799
2019,Broj,Gimnazija,Oba spola,7462
2020,Broj,Gimnazija,Oba spola,7010
2011,Broj,Tehničke škole,Oba spola,17510
2012,Broj,Tehničke škole,Oba spola,16553
2013,Broj,Tehničke škole,Oba spola,19679
2014,Broj,Tehničke škole,Oba spola,21299
2015,Broj,Tehničke škole,Oba spola,21426
2016,Broj,Tehničke škole,Oba spola,18617
2017,Broj,Tehničke škole,Oba spola,15815
2018,Broj,Tehničke škole,Oba spola,16988
2019,Broj,Tehničke škole,Oba spola,17092
2020,Broj,Tehničke škole,Oba spola,16116
2011,Broj,Umjetničke škole,Oba spola,276
2012,Broj,Umjetničke škole,Oba spola,293
2013,Broj,Umjetničke škole,Oba spola,316
2014,Broj,Umjetničke škole,Oba spola,318
2015,Broj,Umjetničke škole,Oba spola,357
2016,Broj,Umjetničke škole,Oba spola,288
2017,Broj,Umjetničke škole,Oba spola,214
2018,Broj,Umjetničke škole,Oba spola,302
2019,Broj,Umjetničke škole,Oba spola,281
2020,Broj,Umjetničke škole,Oba spola,241
2011,Broj,Vjerske škole,Oba spola,447
2012,Broj,Vjerske škole,Oba spola,356
2013,Broj,Vjerske škole,Oba spola,460
2014,Broj,Vjerske škole,Oba spola,517
2015,Broj,Vjerske škole,Oba spola,602
2016,Broj,Vjerske škole,Oba spola,503
2017,Broj,Vjerske škole,Oba spola,476
2018,Broj,Vjerske škole,Oba spola,530
2019,Broj,Vjerske škole,Oba spola,553
2020,Broj,Vjerske škole,Oba spola,518
2011,Broj,Stručne škole,Oba spola,8154
2012,Broj,Stručne škole,Oba spola,9386
2013,Broj,Stručne škole,Oba spola,10331
2014,Broj,Stručne škole,Oba spola,10806
2015,Broj,Stručne škole,Oba spola,8890
2016,Broj,Stručne škole,Oba spola,7161
2017,Broj,Stručne škole,Oba spola,7260
2018,Broj,Stručne škole,Oba spola,7224
2019,Broj,Stručne škole,Oba spola,7018
2020,Broj,Stručne škole,Oba spola,7149
2011,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,99
2012,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,102
2013,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,112
2014,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,196
2015,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,123
2016,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,118
2017,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,103
2018,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,120
2019,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,134
2020,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,106
2011,Broj,Oba spola,M,18022
2012,Broj,Oba spola,M,18153
2013,Broj,Oba spola,M,20895
2014,Broj,Oba spola,M,22589
2015,Broj,Oba spola,M,22230
2016,Broj,Oba spola,M,18464
2017,Broj,Oba spola,M,16307
2018,Broj,Oba spola,M,16580
2019,Broj,Oba spola,M,16519
2020,Broj,Oba spola,M,15982
2011,Broj,Gimnazija,M,3246
2012,Broj,Gimnazija,M,3021
2013,Broj,Gimnazija,M,3642
2014,Broj,Gimnazija,M,3946
2015,Broj,Gimnazija,M,4428
2016,Broj,Gimnazija,M,3412
2017,Broj,Gimnazija,M,2895
2018,Broj,Gimnazija,M,2869
2019,Broj,Gimnazija,M,2819
2020,Broj,Gimnazija,M,2538
2011,Broj,Tehničke škole,M,8794
2012,Broj,Tehničke škole,M,8333
2013,Broj,Tehničke škole,M,9735
2014,Broj,Tehničke škole,M,10569
2015,Broj,Tehničke škole,M,10911
2016,Broj,Tehničke škole,M,9580
2017,Broj,Tehničke škole,M,7882
2018,Broj,Tehničke škole,M,8200
2019,Broj,Tehničke škole,M,8309
2020,Broj,Tehničke škole,M,7844
2011,Broj,Umjetničke škole,M,113
2012,Broj,Umjetničke škole,M,120
2013,Broj,Umjetničke škole,M,137
2014,Broj,Umjetničke škole,M,133
2015,Broj,Umjetničke škole,M,161
2016,Broj,Umjetničke škole,M,111
2017,Broj,Umjetničke škole,M,80
2018,Broj,Umjetničke škole,M,108
2019,Broj,Umjetničke škole,M,111
2020,Broj,Umjetničke škole,M,80
2011,Broj,Vjerske škole,M,228
2012,Broj,Vjerske škole,M,176
2013,Broj,Vjerske škole,M,209
2014,Broj,Vjerske škole,M,260
2015,Broj,Vjerske škole,M,296
2016,Broj,Vjerske škole,M,242
2017,Broj,Vjerske škole,M,241
2018,Broj,Vjerske škole,M,253
2019,Broj,Vjerske škole,M,251
2020,Broj,Vjerske škole,M,259
2011,Broj,Stručne škole,M,5576
2012,Broj,Stručne škole,M,6443
2013,Broj,Stručne škole,M,7094
2014,Broj,Stručne škole,M,7549
2015,Broj,Stručne škole,M,6355
2016,Broj,Stručne škole,M,5047
2017,Broj,Stručne škole,M,5142
2018,Broj,Stručne škole,M,5068
2019,Broj,Stručne škole,M,4947
2020,Broj,Stručne škole,M,5195
2011,Broj,Srednje škole za djecu s posebnim potrebama,M,65
2012,Broj,Srednje škole za djecu s posebnim potrebama,M,60
2013,Broj,Srednje škole za djecu s posebnim potrebama,M,78
2014,Broj,Srednje škole za djecu s posebnim potrebama,M,132
2015,Broj,Srednje škole za djecu s posebnim potrebama,M,79
2016,Broj,Srednje škole za djecu s posebnim potrebama,M,72
2017,Broj,Srednje škole za djecu s posebnim potrebama,M,67
2018,Broj,Srednje škole za djecu s posebnim potrebama,M,82
2019,Broj,Srednje škole za djecu s posebnim potrebama,M,82
2020,Broj,Srednje škole za djecu s posebnim potrebama,M,66
2011,Broj,Oba spola,Ž,17327
2012,Broj,Oba spola,Ž,16638
2013,Broj,Oba spola,Ž,19735
2014,Broj,Oba spola,Ž,21402
2015,Broj,Oba spola,Ž,21088
2016,Broj,Oba spola,Ž,17433
2017,Broj,Oba spola,Ž,15454
2018,Broj,Oba spola,Ž,16383
2019,Broj,Oba spola,Ž,16021
2020,Broj,Oba spola,Ž,15158
2011,Broj,Gimnazija,Ž,5617
2012,Broj,Gimnazija,Ž,5080
2013,Broj,Gimnazija,Ž,6090
2014,Broj,Gimnazija,Ž,6909
2015,Broj,Gimnazija,Ž,7492
2016,Broj,Gimnazija,Ž,5798
2017,Broj,Gimnazija,Ž,4998
2018,Broj,Gimnazija,Ž,4930
2019,Broj,Gimnazija,Ž,4643
2020,Broj,Gimnazija,Ž,4472
2011,Broj,Tehničke škole,Ž,8716
2012,Broj,Tehničke škole,Ž,8220
2013,Broj,Tehničke škole,Ž,9944
2014,Broj,Tehničke škole,Ž,10730
2015,Broj,Tehničke škole,Ž,10515
2016,Broj,Tehničke škole,Ž,9037
2017,Broj,Tehničke škole,Ž,7933
2018,Broj,Tehničke škole,Ž,8788
2019,Broj,Tehničke škole,Ž,8783
2020,Broj,Tehničke škole,Ž,8272
2011,Broj,Umjetničke škole,Ž,163
2012,Broj,Umjetničke škole,Ž,173
2013,Broj,Umjetničke škole,Ž,179
2014,Broj,Umjetničke škole,Ž,185
2015,Broj,Umjetničke škole,Ž,196
2016,Broj,Umjetničke škole,Ž,177
2017,Broj,Umjetničke škole,Ž,134
2018,Broj,Umjetničke škole,Ž,194
2019,Broj,Umjetničke škole,Ž,170
2020,Broj,Umjetničke škole,Ž,161
2011,Broj,Vjerske škole,Ž,219
2012,Broj,Vjerske škole,Ž,180
2013,Broj,Vjerske škole,Ž,251
2014,Broj,Vjerske škole,Ž,257
2015,Broj,Vjerske škole,Ž,306
2016,Broj,Vjerske škole,Ž,261
2017,Broj,Vjerske škole,Ž,235
2018,Broj,Vjerske škole,Ž,277
2019,Broj,Vjerske škole,Ž,302
2020,Broj,Vjerske škole,Ž,259
2011,Broj,Stručne škole,Ž,2578
2012,Broj,Stručne škole,Ž,2943
2013,Broj,Stručne škole,Ž,3237
2014,Broj,Stručne škole,Ž,3257
2015,Broj,Stručne škole,Ž,2535
2016,Broj,Stručne škole,Ž,2114
2017,Broj,Stručne škole,Ž,2118
2018,Broj,Stručne škole,Ž,2156
2019,Broj,Stručne škole,Ž,2071
2020,Broj,Stručne škole,Ž,1954
2011,Broj,Srednje škole za djecu s posebnim potrebama,Ž,34
2012,Broj,Srednje škole za djecu s posebnim potrebama,Ž,42
2013,Broj,Srednje škole za djecu s posebnim potrebama,Ž,34
2014,Broj,Srednje škole za djecu s posebnim potrebama,Ž,64
2015,Broj,Srednje škole za djecu s posebnim potrebama,Ž,44
2016,Broj,Srednje škole za djecu s posebnim potrebama,Ž,46
2017,Broj,Srednje škole za djecu s posebnim potrebama,Ž,36
2018,Broj,Srednje škole za djecu s posebnim potrebama,Ž,38
2019,Broj,Srednje škole za djecu s posebnim potrebama,Ž,52
2020,Broj,Srednje škole za djecu s posebnim potrebama,Ž,40
